customer_unique_id,order_purchase_timestamp,recency,frequency,monetary
7c396fd,2017-10-02 10:56:33,335,2,82.82
af07308,2018-07-24 20:41:37,40,1,141.46
3a653a4,2018-08-08 08:38:49,26,1,179.12
7c142cf,2017-11-18 19:28:06,288,1,72.2
72632f0,2018-02-13 21:18:39,201,1,28.62
80bb27c,2017-07-09 21:57:05,420,1,175.26
932afa1,2017-05-16 13:10:30,474,1,75.16
3938239,2017-01-23 18:29:09,587,1,35.95
299905e,2017-07-29 11:55:02,400,1,169.76
f2a85de,2017-05-16 19:41:10,474,1,259.06
782987b,2017-07-13 19:58:11,416,1,114.13
e971096,2018-06-07 10:06:19,87,1,50.13
e2dfa31,2018-07-25 17:44:10,39,1,32.7
04cf818,2018-03-01 14:14:28,185,1,54.36
ccafc1c,2018-06-07 19:03:12,87,2,207.51
6e26bbe,2018-01-02 19:00:43,243,2,1441.6200000000001
6087cfc,2017-12-26 23:41:31,250,1,43.09
d0ff1a7,2017-11-21 00:03:41,286,1,29.75
634f09f,2017-10-26 15:54:26,311,1,92.97
d699688,2017-09-18 14:31:30,349,1,118.86
68954fe,2018-03-15 08:52:40,172,1,88.9
b8df986,2018-02-03 20:37:35,211,1,17.28
451e483,2018-01-08 07:55:29,238,1,187.57
9c9242a,2018-08-09 11:44:40,24,1,104.11
a25d5f9,2018-02-20 23:46:53,194,1,125.43
576ea0c,2018-06-04 00:00:13,91,1,227.68
f4a7ef6,2018-03-12 01:50:26,175,1,60.69
bd13608,2018-05-02 11:45:38,123,1,192.68
1428917,2018-02-25 13:50:30,189,1,63.34
1974875,2017-08-10 11:58:33,388,1,313.19
a6fefcd,2018-04-16 21:15:39,139,1,224.9
3736370,2017-12-12 13:56:04,264,1,63.1
a264950,2018-02-03 12:38:58,211,1,100.25
6cbe8a3,2018-07-29 23:34:51,35,1,188.41
92fd8aa,2018-02-17 15:59:46,197,1,106.95
661a5e1,2018-02-21 18:15:12,193,1,66.79
f1f4f45,2017-07-31 21:37:10,398,1,43.0
5f7d773,2018-06-01 12:23:13,93,1,508.17
1b542f8,2018-03-26 17:12:18,160,1,49.69
c796780,2017-05-19 18:53:40,471,1,154.19
3e4fd73,2017-11-24 21:27:48,282,1,356.12
4ca5f90,2017-08-04 17:10:39,394,1,95.67
394b2ce,2018-08-04 23:25:30,29,1,121.62
08fb46d,2018-06-04 16:44:48,90,2,44.72
4acce28,2017-05-18 13:55:47,472,1,153.72
c2551ea,2017-05-14 20:28:25,476,2,168.22
372e0fc,2018-05-17 16:59:11,108,1,82.33
cc1a302,2018-07-29 11:24:17,35,1,52.24
12e7a2c,2017-08-09 20:19:05,389,1,130.56
b2cac0b,2018-02-01 14:02:19,213,1,52.84
db979bd,2018-06-26 13:42:52,68,1,71.91
c771547,2018-07-26 14:39:59,38,1,151.04
38cad70,2017-12-15 00:06:10,262,1,386.33
9d9ab3b,2017-08-31 08:15:24,368,1,50.25
7cfba6e,2018-06-11 10:25:52,83,1,128.68
f7603d3,2018-06-11 08:18:19,84,1,43.46
ddf60e2,2018-03-09 14:50:15,177,1,91.68
51838d4,2017-03-13 18:14:36,538,3,310.86
c63e44e,2017-06-13 21:11:26,446,1,141.15
6da92ae,2017-11-30 22:02:15,276,1,91.66
da45a9a,2018-08-05 13:09:48,28,1,53.66
bf03039,2017-11-15 11:31:41,291,1,317.34
9c9cef1,2018-02-19 20:31:09,195,1,43.0
0e764fc,2018-04-22 08:48:13,134,1,346.09
6a0e43f,2018-01-07 21:44:54,238,1,824.76
5d710d9,2018-02-10 13:26:59,204,1,39.99
a464f75,2018-06-18 16:02:23,76,1,392.6
c86a25b,2018-06-13 13:47:39,81,1,55.02
3c0402b,2018-07-15 08:33:19,50,1,46.2
31b8fa2,2017-09-13 14:27:11,354,1,59.34
7f2eb9c,2018-04-13 08:44:17,143,1,209.41
fa0ee7c,2018-02-15 10:33:30,199,2,267.6
32de2a7,2017-02-20 11:45:39,559,1,84.56
f9effee,2017-04-20 17:15:46,500,1,267.8
a7e7b19,2017-09-15 09:19:48,352,1,145.66
65e5aaf,2018-07-28 16:52:55,36,1,37.83
5229b8e,2017-08-09 18:32:47,389,1,234.28
a71cac9,2018-08-26 22:04:34,7,1,201.82
bb4d84a,2017-07-30 03:06:35,400,2,133.05
2ae3c67,2017-12-22 00:17:37,255,2,105.25
c756e19,2017-04-06 22:39:29,514,1,66.98
04e495a,2017-05-09 20:48:59,481,2,199.76
c7a9a76,2017-04-20 20:42:44,500,1,63.34
e3bcfea,2017-10-16 14:56:50,321,1,231.12
4754e3b,2017-12-08 09:42:43,268,2,881.11
410979f,2017-08-26 16:53:30,372,1,29.92
cd14847,2018-02-27 12:55:42,187,1,409.79
b11b787,2018-05-11 13:10:51,114,1,62.69
42f80af,2018-01-22 19:22:22,223,1,105.56
adeefbe,2018-05-01 08:12:37,125,1,37.38
7973a6b,2017-09-19 22:17:15,348,2,115.74000000000001
bb7ef99,2018-04-11 22:32:31,144,1,120.84
b6aa1d5,2017-12-20 23:45:07,256,1,238.69
4a8c8f7,2018-04-22 23:23:18,133,1,772.08
00b2ca2,2018-08-03 08:59:39,31,1,103.27
ca73adc,2018-05-14 08:35:33,112,1,23.69
781ae35,2017-11-22 11:32:22,284,1,101.74
5ddb4fd,2017-03-30 07:50:33,522,1,28.86
439ced9,2018-06-05 09:10:34,89,1,117.77
08de4d9,2018-08-26 11:04:26,7,1,172.14
4f262a3,2017-05-17 08:36:11,474,1,42.59
0c8761c,2018-07-30 22:41:44,34,1,21.38
97f104e,2018-03-01 22:14:26,185,1,554.4
8e44047,2018-02-06 21:09:10,208,1,96.01
169381f,2017-01-28 23:45:53,582,1,609.9
34c5867,2018-01-27 22:04:34,218,1,42.4
a8ee33e,2017-07-01 15:42:32,428,1,253.4
3d8614b,2017-09-27 12:07:22,340,1,28.62
efc37ae,2017-11-28 21:00:44,278,1,40.09
e3c0567,2018-02-01 12:31:21,213,1,26.44
337bf0e,2018-08-22 16:10:29,11,1,132.88
8279be4,2018-07-06 23:36:15,58,1,111.89
5bbc03d,2018-05-09 18:27:00,116,1,231.79
7d185d8,2017-11-26 17:49:46,280,1,135.51
0a5df23,2017-09-29 09:32:17,338,2,193.82999999999998
2df79c0,2017-06-27 23:11:57,432,1,74.03
91a7366,2018-01-23 10:32:39,222,1,58.0
198fa73,2018-08-20 18:24:30,13,1,66.02
2ed58d0,2018-01-30 07:51:17,216,1,53.2
c53e944,2018-03-31 14:20:46,155,1,518.39
3ed766b,2018-03-07 23:00:33,179,1,78.15
f9c75a7,2018-05-08 22:12:34,117,1,84.57
e0b0f9b,2017-03-30 14:46:00,521,1,155.0
8731e1c,2017-11-24 21:55:22,282,1,142.16
5fa1f56,2018-04-25 22:18:10,130,1,141.9
d2f122b,2017-07-16 10:27:45,413,1,113.62
5179541,2017-11-21 12:08:32,285,1,161.77
48d4bf5,2017-10-19 15:08:48,318,1,95.52
be5be2d,2018-07-22 15:19:05,42,1,68.59
377bdfb,2017-12-02 14:28:03,274,1,106.38
81cfe11,2018-03-26 09:14:26,160,1,141.67
fe65c76,2018-01-09 06:37:43,237,1,89.88
2ad3e60,2018-02-06 18:25:39,208,1,187.2
38eb5d4,2018-07-18 13:39:54,46,1,118.35
daf7dfe,2017-03-28 16:03:34,523,1,309.72
b2d3863,2018-06-08 12:19:58,86,1,38.47
0a11a4d,2017-07-10 12:23:05,419,1,312.91
cc9cbe9,2018-05-16 16:10:21,109,1,51.79
548a099,2018-07-05 18:40:47,59,1,232.14
e63b7e6,2017-09-20 17:12:34,347,1,22.79
b854c56,2018-02-21 17:15:49,193,2,242.46
82ab8d7,2018-01-10 14:18:40,235,1,156.67
ed9fce6,2017-04-26 16:14:11,494,1,53.83
311dff8,2017-11-27 19:24:52,279,1,299.72
831a032,2018-05-11 16:35:19,114,1,314.34
65ee274,2018-05-25 08:54:21,101,2,198.78
a3d335d,2017-11-26 09:32:06,280,1,75.18
2f97fb0,2017-11-17 21:14:42,289,1,161.3
02c639f,2018-07-23 18:27:07,41,1,117.45
b577af9,2018-02-14 13:05:17,200,1,170.43
22be41a,2017-04-30 22:43:56,490,1,141.06
528b011,2018-01-10 11:33:07,235,1,69.12
4521ca4,2017-05-15 16:29:03,475,1,134.58
d2c89ba,2017-07-22 19:16:47,407,1,59.85
50f99f5,2018-06-24 19:01:52,70,1,68.63
9e0c06f,2018-07-02 12:54:20,62,1,86.05
3e45b1d,2017-03-06 00:14:28,546,1,64.74
8051546,2017-10-04 23:02:21,333,1,217.78
d0db8f7,2017-12-21 17:43:41,255,1,67.5
10669e8,2017-05-09 11:48:37,481,1,63.79
f1e0cfb,2018-02-02 16:15:41,212,1,215.14
ab93bfe,2018-06-01 11:26:06,93,1,126.67
0319cd4,2018-08-09 16:23:03,24,1,285.59
66d7c05,2017-11-15 13:47:34,291,1,145.5
9ed19e3,2018-04-26 11:59:05,129,1,43.29
fe22f09,2018-07-15 12:37:12,49,1,38.41
e1858db,2018-05-30 22:33:08,95,1,402.49
52a7fb2,2017-12-02 14:08:33,274,1,110.89
c3fcf3b,2018-03-29 14:27:41,157,1,204.45
87d406e,2018-06-25 15:36:18,69,1,109.35
fbe53ee,2017-09-11 07:54:38,357,1,74.74
d01cf8c,2018-04-15 19:42:06,140,2,113.72
41a1e81,2018-01-13 08:19:23,233,1,97.81
94819c1,2018-04-04 08:39:50,152,1,133.25
b910941,2017-09-26 12:32:39,341,1,180.95
5e965d3,2018-02-28 17:00:28,186,1,445.32
2e3c3bc,2017-04-22 19:26:47,498,1,52.51
5cbf29b,2017-09-13 09:18:50,354,1,124.16
213ce7e,2018-01-18 09:30:54,227,1,65.47
cab5ecc,2017-03-14 16:25:43,537,1,98.16
6f19cd8,2017-12-20 12:30:40,256,1,40.78
8689753,2017-12-04 17:24:57,272,1,273.27
cf50302,2018-08-03 22:23:06,30,1,106.73
995fe94,2018-03-29 14:29:44,157,2,218.94
1061069,2017-05-18 20:59:24,472,1,389.82
6110fc2,2017-06-16 00:22:49,444,1,393.46
92f65b7,2017-07-05 09:16:49,424,1,122.22
71570c9,2018-07-27 12:45:51,37,1,698.85
071bb27,2017-07-08 14:12:08,421,2,130.64
1006daf,2018-03-15 16:59:11,171,1,58.28
2c613e1,2017-06-25 19:30:09,434,1,77.03
04e1ad2,2018-02-28 21:27:43,186,1,49.73
51cbfa4,2018-04-16 21:07:16,139,1,139.8
d7b4728,2018-05-15 19:55:51,110,1,86.36
ac307db,2018-07-13 15:45:51,51,1,423.67
e4bd579,2017-08-01 18:52:12,397,1,108.01
a5314ac,2018-07-21 12:49:32,43,1,35.36
8a2530b,2017-03-09 22:17:49,542,1,305.7
b33ab87,2017-12-09 17:27:58,267,1,216.26
ff10e64,2018-08-01 10:48:19,32,1,83.05
8b4e378,2018-04-09 13:56:45,146,1,121.68
dbc0a39,2018-02-10 19:27:28,204,1,57.68
6898b22,2017-04-27 11:08:59,493,1,92.97
a54ff9c,2017-12-06 15:26:09,270,1,35.24
c89cf1a,2017-11-30 22:37:50,276,1,286.54
cb644c8,2017-06-05 13:24:46,454,1,78.09
e25e370,2017-09-12 16:32:09,355,1,301.19
95aec96,2018-07-22 22:30:05,42,1,140.88
76c9a12,2018-06-03 18:24:33,91,2,99.58
23daf66,2018-05-23 16:37:35,102,1,20.75
344fecf,2018-02-03 10:51:17,211,1,165.4
b0608eb,2018-05-17 08:33:19,109,1,102.56
677e8fb,2018-08-10 13:42:06,23,1,84.64
2db7f21,2018-04-18 20:13:31,137,1,446.51
ded340a,2017-09-27 14:43:47,340,1,217.78
48625b6,2018-02-05 17:27:54,209,2,370.32
1e85d1d,2017-11-16 14:32:06,290,1,50.68
fb20bf5,2018-01-31 13:21:44,214,1,170.1
c8d1837,2018-01-11 16:51:17,234,1,89.88
43088e9,2017-06-04 10:05:59,455,1,103.55
6517822,2018-03-29 16:17:53,157,1,160.14
2a151ec,2017-07-17 21:55:56,412,1,46.0
d903cb2,2018-05-09 14:32:09,116,1,63.46
d76441a,2018-08-08 21:11:25,25,1,145.0
afee8d3,2018-04-17 11:25:39,138,1,136.4
1268b06,2017-04-22 13:48:18,498,1,34.24
a55964e,2017-12-11 21:43:24,265,1,146.44
5824772,2018-05-04 10:29:14,121,1,257.94
7eb6b25,2017-11-17 19:53:21,289,1,240.23
a97d43b,2017-12-17 19:40:26,259,2,175.31
65daa8a,2017-12-21 04:59:55,256,1,74.16
c6ff129,2018-02-27 10:05:56,187,1,338.0
b329ed3,2018-03-18 20:59:28,168,1,183.65
f7be9be,2017-01-05 13:34:35,605,2,38.24
b6ebed1,2017-11-24 16:56:46,282,1,753.94
29fbb28,2017-12-24 17:34:12,252,1,64.09
db3e474,2018-03-29 15:08:14,157,1,59.47
ac4aeb8,2017-11-29 17:43:34,277,1,91.18
07d04d1,2018-04-03 13:47:14,152,1,83.33
626495d,2017-04-20 16:18:26,500,1,28.46
25799bf,2018-01-25 23:13:41,220,1,53.3
a9a7ad0,2018-05-08 14:38:14,117,1,76.29
490aaed,2018-06-16 19:05:54,78,1,403.32
ba77e9b,2017-07-02 20:47:24,427,3,269.64
5fd0cae,2018-01-23 23:59:03,222,1,103.5
56509f7,2018-01-16 22:34:16,229,1,211.89
6f6700b,2018-02-22 15:04:08,192,1,111.4
b8c6493,2018-03-30 23:11:40,156,1,143.32
977136c,2017-02-12 18:48:56,567,1,45.95
51ac856,2018-02-01 07:47:34,214,1,223.26
1915259,2018-06-06 14:21:47,88,2,263.64
6dfa1dd,2017-11-17 13:12:47,289,1,41.69
ecc6d0f,2018-01-30 17:36:43,215,2,435.14
fc99cf0,2018-03-07 12:08:37,179,1,241.74
99d697d,2018-01-10 09:04:09,236,2,407.22
16bc264,2017-02-08 18:00:36,571,1,30.96
b36e375,2018-06-30 21:57:55,64,1,48.83
6985e81,2018-08-08 10:49:59,25,1,75.1
6927dac,2017-10-05 05:23:47,333,1,76.67
4e1e21d,2018-04-10 14:58:16,145,1,198.12
f5cb81f,2018-02-08 18:56:45,206,1,132.05
0d75e26,2018-07-12 20:24:07,52,1,112.46
757921c,2017-11-24 14:15:53,282,1,84.43
5a014da,2017-08-31 17:46:40,367,1,210.64
ad28944,2018-05-15 09:10:20,110,1,124.76
2651978,2018-01-22 19:22:26,223,1,69.73
1fd4f85,2018-06-16 00:01:56,79,1,31.22
c05813a,2018-07-28 18:21:00,36,1,22.18
83d1d42,2017-11-28 21:07:26,278,1,76.85
b931fdc,2018-02-11 14:13:54,203,1,32.69
28a9545,2018-03-17 15:21:11,169,1,100.57
0be1765,2018-06-03 11:52:11,91,1,88.31
6c5c77a,2018-05-07 21:49:08,118,1,55.56
e20247a,2018-03-09 14:58:05,177,1,363.96
f81bd58,2018-02-27 15:53:44,187,1,84.91
682dff0,2018-01-24 11:40:28,221,1,207.02
86d665d,2018-06-09 11:02:51,85,1,419.12
089b7f0,2017-11-11 22:16:49,295,1,42.27
0e52335,2018-06-28 11:08:58,66,1,94.74
33e6088,2018-08-01 14:58:41,32,1,79.63
c53d90a,2017-11-24 17:37:41,282,1,194.06
ae3759d,2018-02-03 14:56:55,211,1,39.75
795ec12,2017-04-27 10:24:22,493,1,50.86
1a2d842,2018-04-10 16:22:27,145,1,108.2
8718d37,2017-11-13 10:07:36,293,1,102.74
3353f4c,2018-07-23 10:21:28,41,1,72.05
0a289ff,2018-04-03 20:44:15,152,1,24.38
900cd19,2018-01-12 19:27:08,233,1,56.78
8234ef6,2017-07-24 17:19:00,405,1,131.33
cbc1758,2018-03-07 23:46:19,179,1,238.41
e88522b,2018-06-05 11:36:11,89,1,148.69
30e4588,2018-02-15 23:27:21,199,1,116.34
7e69734,2017-06-29 00:10:49,431,1,204.06
701a19d,2018-01-19 21:07:32,226,1,96.8
5925dfa,2018-03-29 12:00:11,157,2,182.32
1c13e7a,2018-06-28 12:52:15,66,1,865.01
396e89f,2018-03-15 20:23:45,171,1,322.17
50bcf3c,2018-03-27 22:14:59,159,1,275.19
279bd19,2018-08-03 13:32:54,30,1,78.22
c42ba47,2017-01-21 17:08:01,589,1,40.86
ff75514,2017-09-26 11:08:38,341,1,206.87
2c87620,2018-02-28 08:57:03,187,1,262.37
74182c6,2017-09-13 15:07:45,354,1,998.49
cdd4e05,2018-08-09 20:36:13,24,1,257.42
875a879,2017-12-07 09:40:04,269,1,61.75
cd10a74,2018-05-30 02:41:28,96,1,77.03
657b9ac,2017-06-27 10:45:08,432,1,96.88
ea870f4,2017-12-08 04:45:26,269,1,162.25
c672c78,2018-03-09 15:09:28,177,1,57.46
8523491,2017-09-11 11:50:32,356,1,73.34
cdf8082,2018-06-12 09:52:46,82,1,39.75
a4031c5,2018-07-03 01:17:32,62,1,159.07
9d687a1,2017-05-23 15:28:58,467,1,159.04
d84d4b0,2017-11-29 18:27:30,277,1,34.0
d02cbb8,2018-01-14 18:49:14,231,3,157.76999999999998
d3940a0,2017-08-23 15:40:22,375,1,63.86
7f2a3bc,2017-09-10 22:32:14,357,1,177.36
a8f2d0c,2018-08-21 16:45:44,12,1,143.94
b4f36e3,2018-05-27 17:59:00,98,1,174.42
49eb55b,2017-05-20 02:48:00,471,1,180.45
07187fd,2017-07-28 11:25:16,401,1,165.57
e8dffc9,2017-12-05 10:34:52,271,1,101.34
2d3c25e,2018-03-07 15:37:22,179,1,69.32
26ad164,2018-08-20 17:38:55,13,1,139.56
cef44ce,2018-02-09 13:48:17,205,2,108.72
bef61c4,2018-08-02 14:41:02,31,1,436.7
5f38cc3,2018-01-02 19:20:35,243,1,192.95
6940ba0,2018-04-18 15:40:36,137,1,1255.43
d4b1297,2018-03-17 15:32:31,169,1,59.18
773d6a1,2018-01-05 11:04:11,240,1,72.64
02e9109,2018-05-14 11:04:55,111,3,602.73
37d2d1a,2017-11-26 12:50:56,280,2,181.76
d11a194,2018-06-26 10:58:48,68,1,307.64
edf0cf9,2017-12-01 20:39:26,275,1,85.24
ee25395,2017-05-26 18:35:51,464,1,41.69
4e21dec,2017-08-09 21:43:53,389,1,96.02
ff5f63d,2018-08-09 22:52:27,24,1,26.29
5a6d092,2018-04-01 18:27:01,154,1,1119.6
6ba3c68,2017-04-19 13:45:55,501,1,83.1
2825ce9,2017-08-17 17:03:31,381,1,44.0
ad8afaa,2018-08-16 10:39:48,17,1,44.41
